


咪咕央视频道,#genre#
CCTV11,http://hms104nc1972679567.live.aikan.miguvideo.com/wh7f454c46tw243590597_813917062/migu/kailu/cctv11hd/57/20200103/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=114.239.191.210&timestamp=20230225105331&ContentId=265667429&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=555&zjClientId=77441101ae46e532&mtv_session=d01f7c8fc3be19e07e316c36d5d276fe&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6e5ada27078ed60c65103f1f010c06fa
CCTV12,http://hms184nc1972679575.live.aikan.miguvideo.com/wh7f454c46tw396233162_-1762759655/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=114.239.191.210&timestamp=20230225105604&ContentId=265667607&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=555&zjClientId=77441101ae46e532&mtv_session=db60e52d56df2b0a307e9f31824aa465&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=44b1bd4f20919225d81b679887db9c26
CCTV13,http://hms304nc1972679587.live.aikan.miguvideo.com/wh7f454c46tw405995409_-545418488/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=114.239.191.210&timestamp=20230225105614&ContentId=265667474&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=555&zjClientId=77441101ae46e532&mtv_session=ebff741a9d7ee6aad6090f0715248b85&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=28f9369819e1ca86c93c2206017e2574
CCTV14,http://hms404nc1972679597.live.aikan.miguvideo.com/wh7f454c46tw416854645_1813479939/wd_r2/ocn/cctv14hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=114.239.191.210&timestamp=20230225105624&ContentId=265667325&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=555&zjClientId=77441101ae46e532&mtv_session=ee0e75d772af77b49eb1e0b130fd8505&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=bc7a6469ac0fdb7bf0aa5a1b13ab1f8d
CCTV15,http://hms364nc1972679592.live.aikan.miguvideo.com/wh7f454c46tw425153998_1997805792/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=114.239.191.210&timestamp=20230225105633&ContentId=265667535&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=555&zjClientId=77441101ae46e532&mtv_session=d10dca61e5e9df4eb1705862d044bd96&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9b139219dcd3660e6b8225535aa49da8
辽内地,#genre#
辽都,http://218.25.44.2:8899/hls/47/index.m3u8


咪咕卫视频道,#genre#
东方卫视,http://hms104nc1972679566.live.aikan.miguvideo.com/wh7f454c46tw2250540763_5625865/wd_r4/dfl/dongfangwshd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.68.47.103&timestamp=20230525094835&ContentId=264104266&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=559&zjClientId=77441101ae46e532&mtv_session=657a4b9cc5dd9950404485eb9861f3c0&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=20a5b4ea510471803f2bb1e58002ff9d
湖南卫视,http://hms124nc1972679569.live.aikan.miguvideo.com/wh7f454c46tw4102823173_1089710271/wd-hunanhd-2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.68.47.103&timestamp=20230525101927&ContentId=265667721&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=559&zjClientId=77441101ae46e532&mtv_session=cf4214705ccff738d72786f4c823568a&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2ea64b324a34dceb84808db9ace286db
广东卫视,http://hms124nc1972679568.live.aikan.miguvideo.com/wh7f454c46tw2699803548_-211098794/ws_w/gdws/gdws3000/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.68.47.103&timestamp=20230525110739&ContentId=263541274&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=559&zjClientId=77441101ae46e532&mtv_session=b3e682a5dd32357cad5f7f6619ae392a&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b7139a1dc2805a6e32cbb3ab35230b1d
